Site Name,Day,Hour,Total Energy(kWh),Datetime
site1,1,0,4.48,2023-01-01 00:00:00
site1,1,1,4.3,2023-01-01 01:00:00
site1,1,2,4.17,2023-01-01 02:00:00
site1,1,3,4.15,2023-01-01 03:00:00
site1,1,4,4.32,2023-01-01 04:00:00
site1,1,5,4.41,2023-01-01 05:00:00
site1,1,6,4.45,2023-01-01 06:00:00
site1,1,7,4.47,2023-01-01 07:00:00
site1,1,8,4.54,2023-01-01 08:00:00
site1,1,9,4.63,2023-01-01 09:00:00
site1,1,10,4.77,2023-01-01 10:00:00
site1,1,11,4.64,2023-01-01 11:00:00
site1,1,12,4.74,2023-01-01 12:00:00
site1,1,13,4.65,2023-01-01 13:00:00
site1,1,14,4.72,2023-01-01 14:00:00
site1,1,15,4.84,2023-01-01 15:00:00
site1,1,16,4.94,2023-01-01 16:00:00
site1,1,17,4.7,2023-01-01 17:00:00
site1,1,18,4.69,2023-01-01 18:00:00
site1,1,19,4.79,2023-01-01 19:00:00
site1,1,20,5.07,2023-01-01 20:00:00
site1,1,21,5.06,2023-01-01 21:00:00
site1,1,22,4.92,2023-01-01 22:00:00
site1,1,23,4.54,2023-01-01 23:00:00
site1,2,0,4.49,2023-01-02 00:00:00
site1,2,1,4.46,2023-01-02 01:00:00
site1,2,2,4.26,2023-01-02 02:00:00
site1,2,3,4.27,2023-01-02 03:00:00
site1,2,4,4.32,2023-01-02 04:00:00
site1,2,5,4.35,2023-01-02 05:00:00
site1,2,6,4.54,2023-01-02 06:00:00
site1,2,7,4.67,2023-01-02 07:00:00
site1,2,8,4.82,2023-01-02 08:00:00
site1,2,9,4.8,2023-01-02 09:00:00
site1,2,10,4.88,2023-01-02 10:00:00
site1,2,11,4.88,2023-01-02 11:00:00
site1,2,12,5.04,2023-01-02 12:00:00
site1,2,13,4.93,2023-01-02 13:00:00
site1,2,14,4.83,2023-01-02 14:00:00
site1,2,15,4.98,2023-01-02 15:00:00
site1,2,16,4.94,2023-01-02 16:00:00
site1,2,17,4.92,2023-01-02 17:00:00
site1,2,18,4.98,2023-01-02 18:00:00
site1,2,19,4.88,2023-01-02 19:00:00
site1,2,20,4.86,2023-01-02 20:00:00
site1,2,21,4.95,2023-01-02 21:00:00
site1,2,22,4.85,2023-01-02 22:00:00
site1,2,23,4.7,2023-01-02 23:00:00
site1,3,0,4.58,2023-01-03 00:00:00
site1,3,1,4.48,2023-01-03 01:00:00
site1,3,2,4.31,2023-01-03 02:00:00
site1,3,3,4.21,2023-01-03 03:00:00
site1,3,4,4.35,2023-01-03 04:00:00
site1,3,5,4.37,2023-01-03 05:00:00
site1,3,6,4.43,2023-01-03 06:00:00
site1,3,7,4.66,2023-01-03 07:00:00
site1,3,8,4.82,2023-01-03 08:00:00
site1,3,9,4.96,2023-01-03 09:00:00
site1,3,10,4.92,2023-01-03 10:00:00
site1,3,11,4.77,2023-01-03 11:00:00
site1,3,12,4.88,2023-01-03 12:00:00
site1,3,13,4.91,2023-01-03 13:00:00
site1,3,14,5.013333333,2023-01-03 14:00:00
site1,3,15,5.013333333,2023-01-03 15:00:00
site1,3,16,5.013333333,2023-01-03 16:00:00
site1,3,17,5.0,2023-01-03 17:00:00
site1,3,18,4.96,2023-01-03 18:00:00
site1,3,19,4.98,2023-01-03 19:00:00
site1,3,20,5.1,2023-01-03 20:00:00
site1,3,21,4.92,2023-01-03 21:00:00
site1,3,22,4.71,2023-01-03 22:00:00
site1,3,23,4.55,2023-01-03 23:00:00
site1,4,0,4.415,2023-01-04 00:00:00
site1,4,1,4.415,2023-01-04 01:00:00
site1,4,2,4.33,2023-01-04 02:00:00
site1,4,3,4.3,2023-01-04 03:00:00
site1,4,4,4.41,2023-01-04 04:00:00
site1,4,5,4.48,2023-01-04 05:00:00
site1,4,6,4.65,2023-01-04 06:00:00
site1,4,7,4.53,2023-01-04 07:00:00
site1,4,8,4.59,2023-01-04 08:00:00
site1,4,9,4.63,2023-01-04 09:00:00
site1,4,10,4.73,2023-01-04 10:00:00
site1,4,11,4.75,2023-01-04 11:00:00
site1,4,12,4.68,2023-01-04 12:00:00
site1,4,13,4.74,2023-01-04 13:00:00
site1,4,14,4.77,2023-01-04 14:00:00
site1,4,15,4.86,2023-01-04 15:00:00
site1,4,16,4.93,2023-01-04 16:00:00
site1,4,17,4.91,2023-01-04 17:00:00
site1,4,18,4.84,2023-01-04 18:00:00
site1,4,19,4.96,2023-01-04 19:00:00
site1,4,20,5.17,2023-01-04 20:00:00
site1,4,21,5.07,2023-01-04 21:00:00
site1,4,22,5.0,2023-01-04 22:00:00
site1,4,23,4.72,2023-01-04 23:00:00
site1,5,0,4.45,2023-01-05 00:00:00
site1,5,1,4.41,2023-01-05 01:00:00
site1,5,2,4.23,2023-01-05 02:00:00
site1,5,3,4.19,2023-01-05 03:00:00
site1,5,4,4.16,2023-01-05 04:00:00
site1,5,5,4.37,2023-01-05 05:00:00
site1,5,6,4.55,2023-01-05 06:00:00
site1,5,7,4.73,2023-01-05 07:00:00
site1,5,8,4.75,2023-01-05 08:00:00
site1,5,9,4.61,2023-01-05 09:00:00
site1,5,10,4.82,2023-01-05 10:00:00
site1,5,11,4.7,2023-01-05 11:00:00
site1,5,12,4.74,2023-01-05 12:00:00
site1,5,13,4.9,2023-01-05 13:00:00
site1,5,14,4.8,2023-01-05 14:00:00
site1,5,15,4.79,2023-01-05 15:00:00
site1,5,16,4.79,2023-01-05 16:00:00
site1,5,17,4.88,2023-01-05 17:00:00
site1,5,18,4.96,2023-01-05 18:00:00
site1,5,19,5.16,2023-01-05 19:00:00
site1,5,20,5.01,2023-01-05 20:00:00
site1,5,21,4.87,2023-01-05 21:00:00
site1,5,22,4.82,2023-01-05 22:00:00
site1,5,23,4.67,2023-01-05 23:00:00
site1,6,0,4.385,2023-01-06 00:00:00
site1,6,1,4.385,2023-01-06 01:00:00
site1,6,2,4.18,2023-01-06 02:00:00
site1,6,3,4.13,2023-01-06 03:00:00
site1,6,4,4.27,2023-01-06 04:00:00
site1,6,5,4.45,2023-01-06 05:00:00
site1,6,6,4.6,2023-01-06 06:00:00
site1,6,7,4.64,2023-01-06 07:00:00
site1,6,8,4.63,2023-01-06 08:00:00
site1,6,9,4.69,2023-01-06 09:00:00
site1,6,10,4.67,2023-01-06 10:00:00
site1,6,11,4.69,2023-01-06 11:00:00
site1,6,12,4.63,2023-01-06 12:00:00
site1,6,13,4.7,2023-01-06 13:00:00
site1,6,14,4.67,2023-01-06 14:00:00
site1,6,15,4.62,2023-01-06 15:00:00
site1,6,16,4.75,2023-01-06 16:00:00
site1,6,17,4.73,2023-01-06 17:00:00
site1,6,18,4.75,2023-01-06 18:00:00
site1,6,19,4.84,2023-01-06 19:00:00
site1,6,20,5.01,2023-01-06 20:00:00
site1,6,21,4.89,2023-01-06 21:00:00
site1,6,22,4.74,2023-01-06 22:00:00
site1,6,23,4.63,2023-01-06 23:00:00
site1,7,0,4.36,2023-01-07 00:00:00
site1,7,1,4.29,2023-01-07 01:00:00
site1,7,2,4.18,2023-01-07 02:00:00
site1,7,3,4.18,2023-01-07 03:00:00
site1,7,4,4.32,2023-01-07 04:00:00
site1,7,5,4.4,2023-01-07 05:00:00
site1,7,6,4.48,2023-01-07 06:00:00
