Site Id,diesel power(kW),battery capacity (Ah),rated voltage（V）,battery charge coefficient,battery discharge coefficient,init SOC,DOD,grid power(kW),grid outage plan
site1,18,300,54,0.35,1.2,0.2,0.15,8,[false false false false false false false false true true true true true true true true false false false false false false false false false false true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true false false false false false false false false false false false false false false false false true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false]
site2,17.6,760,54,0.35,1.2,0.2,0.15,14,[false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false]
site3,12.8,760,54,0.35,1.2,0.2,0.15,10,[false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false true true true true true true true false false false false false false false false false false false false false false false false false]
site4,17.6,760,54,0.35,1.2,0.2,0.15,14,[true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true false false false false false false false false false false false false false false false false false false]
site5,17.6,380,54,0.35,1.2,0.2,0.15,12,[false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false true true true true true true true true false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false true true true true true true true true]
site6,17.6,760,54,0.35,1.2,0.2,0.15,8,[false false false false false false false false true true true true true true true true false false false false false false false false false false true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true false false false false false false false false false false false false false false false false true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false]
site7,18,380,54,0.35,1.2,0.2,0.15,8,[false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false]
site8,10.8,400,54,0.35,1.2,0.2,0.15,12,[false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false true true true true true true true false false false false false false false false false false false false false false false false false]
site9,12.8,400,54,0.35,1.2,0.2,0.15,8,[true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true false false false false false false false false false false false false false false false false false false]
site10,17.6,380,54,0.35,1.2,0.2,0.15,10,[false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false true true true true true true true true false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false false true true true true true true true true true true true true true true true true false false false false false false false false false false false false false false false false true true true true true true true true]
