Site Name,Day,Hour,Solar Zenith Angle,Clearsky DHI,Clearsky DNI,Clearsky GHI,Relative Humidity,DHI,DNI,GHI,Energy Output(kWh),Datetime
site1,1,0,138.12,0.0,0.0,0.0,59.05,0.0,0.0,0.0,0.0,2023-01-01 00:00:00
site1,1,1,125.23,0.0,0.0,0.0,62.04,0.0,0.0,0.0,0.0,2023-01-01 01:00:00
site1,1,2,116.75,0.0,0.0,0.0,65.29,0.0,0.0,0.0,0.0,2023-01-01 02:00:00
site1,1,3,97.86,0.0,0.0,0.0,63.05,0.0,0.0,0.0,0.0,2023-01-01 03:00:00
site1,1,4,85.22,30.97,204.94,48.05,57.81,32.22,0.0,33.7,0.0,2023-01-01 04:00:00
site1,1,5,72.65,84.11,575.39,270.87,47.83,136.88,5.11,135.23,0.24,2023-01-01 05:00:00
site1,1,6,59.41,115.61,751.71,519.68,36.99,279.5,41.33,307.76,1.22,2023-01-01 06:00:00
site1,1,7,43.31,132.24,855.5,733.84,32.99,434.51,164.39,525.67,4.14,2023-01-01 07:00:00
site1,1,8,30.81,146.52,867.17,900.97,28.1,151.42,838.02,906.91,7.68,2023-01-01 08:00:00
site1,1,9,18.25,142.87,917.78,974.32,26.87,137.94,914.59,1041.3,10.18,2023-01-01 09:00:00
site1,1,10,14.16,145.69,933.96,1054.14,25.95,144.23,891.42,1054.7,11.32,2023-01-01 10:00:00
site1,1,11,20.89,146.67,874.39,993.29,26.76,494.17,134.53,620.99,9.8,2023-01-01 11:00:00
site1,1,12,33.88,135.37,844.49,878.66,27.75,434.12,84.82,521.0,4.16,2023-01-01 12:00:00
site1,1,13,47.5,130.71,813.78,694.62,29.6,126.76,806.46,674.57,4.08,2023-01-01 13:00:00
site1,1,14,61.08,110.99,703.17,431.75,31.88,218.44,256.22,354.61,3.98,2023-01-01 14:00:00
site1,1,15,77.61,72.51,507.96,198.72,37.27,35.81,0.0,35.65,3.92,2023-01-01 15:00:00
site1,1,16,89.99,10.02,43.54,11.18,41.13,10.05,44.97,10.97,3.68,2023-01-01 16:00:00
site1,1,17,106.73,0.0,0.0,0.0,44.06,0.0,0.0,0.0,1.88,2023-01-01 17:00:00
site1,1,18,119.56,0.0,0.0,0.0,45.77,0.0,0.0,0.0,0.34,2023-01-01 18:00:00
site1,1,19,130.53,0.0,0.0,0.0,47.8,0.0,0.0,0.0,0.0,2023-01-01 19:00:00
site1,1,20,139.51,0.0,0.0,0.0,50.89,0.0,0.0,0.0,0.0,2023-01-01 20:00:00
site1,1,21,143.12,0.0,0.0,0.0,53.12,0.0,0.0,0.0,0.0,2023-01-01 21:00:00
site1,1,22,148.43,0.0,0.0,0.0,53.79,0.0,0.0,0.0,0.0,2023-01-01 22:00:00
site1,1,23,147.1,0.0,0.0,0.0,53.99,0.0,0.0,0.0,0.0,2023-01-01 23:00:00
site1,2,0,132.43,0.0,0.0,0.0,60.31,0.0,0.0,0.0,0.0,2023-01-02 00:00:00
site1,2,1,124.04,0.0,0.0,0.0,62.71,0.0,0.0,0.0,0.0,2023-01-02 01:00:00
site1,2,2,111.99,0.0,0.0,0.0,65.47,0.0,0.0,0.0,0.0,2023-01-02 02:00:00
site1,2,3,101.4,0.0,0.0,0.0,63.92,0.0,0.0,0.0,0.0,2023-01-02 03:00:00
site1,2,4,86.36,30.19,184.95,46.27,61.26,29.99,194.57,45.72,0.02,2023-01-02 04:00:00
site1,2,5,73.49,84.53,603.98,265.63,46.79,84.42,575.59,262.42,0.14,2023-01-02 05:00:00
site1,2,6,57.82,116.83,720.41,517.82,38.23,110.11,767.8,506.42,0.32,2023-01-02 06:00:00
site1,2,7,44.04,132.85,816.66,710.41,30.99,126.59,848.86,713.2,0.86,2023-01-02 07:00:00
site1,2,8,29.7,138.71,872.09,876.2,29.18,143.23,908.41,930.9,2.5,2023-01-02 08:00:00
site1,2,9,19.1,131.99,911.1,1006.74,28.18,139.74,889.57,975.57,4.3,2023-01-02 09:00:00
site1,2,10,14.53,146.46,914.25,1057.57,25.1,139.66,932.41,995.07,7.64,2023-01-02 10:00:00
site1,2,11,22.27,135.43,916.68,999.18,25.02,143.93,928.75,949.01,1.82,2023-01-02 11:00:00
site1,2,12,34.02,157.26,837.19,825.7,25.31,458.24,134.13,589.9,4.6,2023-01-02 12:00:00
site1,2,13,47.58,142.99,783.69,655.38,27.81,144.3,788.58,660.48,3.92,2023-01-02 13:00:00
site1,2,14,61.91,122.09,690.49,449.99,29.79,245.43,26.14,257.96,8.22,2023-01-02 14:00:00
site1,2,15,72.95,82.67,480.61,194.41,33.78,81.68,477.09,190.05,4.74,2023-01-02 15:00:00
site1,2,16,85.46,9.03,32.3,8.76,39.78,2.98,0.0,3.05,3.54,2023-01-02 16:00:00
site1,2,17,102.44,0.0,0.0,0.0,41.57,0.0,0.0,0.0,1.64,2023-01-02 17:00:00
site1,2,18,119.54,0.0,0.0,0.0,44.41,0.0,0.0,0.0,0.46,2023-01-02 18:00:00
site1,2,19,129.99,0.0,0.0,0.0,51.74,0.0,0.0,0.0,0.12,2023-01-02 19:00:00
site1,2,20,136.3,0.0,0.0,0.0,56.73,0.0,0.0,0.0,0.0,2023-01-02 20:00:00
site1,2,21,148.17,0.0,0.0,0.0,58.56,0.0,0.0,0.0,0.0,2023-01-02 21:00:00
site1,2,22,152.14,0.0,0.0,0.0,62.53,0.0,0.0,0.0,0.0,2023-01-02 22:00:00
site1,2,23,149.5,0.0,0.0,0.0,66.6,0.0,0.0,0.0,0.0,2023-01-02 23:00:00
site1,3,0,143.36,0.0,0.0,0.0,69.12,0.0,0.0,0.0,0.0,2023-01-03 00:00:00
site1,3,1,121.04,0.0,0.0,0.0,72.97,0.0,0.0,0.0,0.0,2023-01-03 01:00:00
site1,3,2,109.53,0.0,0.0,0.0,73.01,0.0,0.0,0.0,0.0,2023-01-03 02:00:00
site1,3,3,101.61,0.0,0.0,0.0,70.44,0.0,0.0,0.0,0.02,2023-01-03 03:00:00
site1,3,4,84.14,29.96,194.78,46.17,62.0,36.57,3.88,35.54,0.18,2023-01-03 04:00:00
site1,3,5,69.73,82.42,581.89,269.42,51.16,155.36,9.63,158.57,0.5,2023-01-03 05:00:00
site1,3,6,56.11,112.68,752.69,498.26,40.23,228.93,429.96,467.89,0.42,2023-01-03 06:00:00
site1,3,7,44.86,132.8,808.94,721.08,33.45,260.11,547.46,640.13,1.24,2023-01-03 07:00:00
site1,3,8,29.88,151.18,869.45,906.76,29.89,145.25,911.52,890.82,1.42,2023-01-03 08:00:00
site1,3,9,18.98,138.46,899.49,1022.15,25.91,141.35,914.64,991.28,4.94,2023-01-03 09:00:00
site1,3,10,14.24,147.78,899.42,1058.09,26.17,143.94,901.1,1058.26,4.12,2023-01-03 10:00:00
